model_path	term_hint	mapping_work	source_internal	status
xr.payment.payeeAccounts[]	BG-17	list / repeat		todo
xr.payment.payeeAccounts[].id	BT-84	value / map		todo
xr.payment.payeeAccounts[].name	BT-85	value / map		todo
xr.payment.payeeAccounts[].bic	BT-86	value / map		todo
xr.payment.card	BG-18	object / compose		todo
xr.payment.card.primaryAccountNumberId	BT-87	value / map		todo
xr.payment.card.holderName	BT-88	value / map		todo
xr.payment.mandate	BG-19	object / compose		todo
xr.payment.mandate.id	BT-89	value / map		todo
xr.payment.mandate.payerAccountId	BT-91	value / map		todo
xr.paymentTerms	BT-20	object / compose		todo
xr.paymentTerms.note	BT-20	value / map		todo
xr.documentAllowances[]	BG-20	list / repeat		todo
xr.documentAllowances[].amount	BT-92	value / map		todo
xr.documentAllowances[].baseAmount	BT-93	value / map		todo
xr.documentAllowances[].percent	BT-94	value / map		todo
xr.documentAllowances[].reason	BT-97	value / map		todo
xr.documentAllowances[].reasonCode	BT-98	value / map		todo
xr.documentAllowances[].tax	BT-95..96	object / compose		todo
xr.documentAllowances[].tax.categoryCode	BT-95	value / map		todo
xr.documentAllowances[].tax.rate	BT-96	value / map		todo
xr.documentAllowances[].tax.exemptionReason	semantic-model helper for BG-23 alignment	value / map		todo
xr.documentAllowances[].tax.exemptionReasonCode	semantic-model helper for BG-23 alignment	value / map		todo
xr.documentCharges[]	BG-21	list / repeat		todo
xr.documentCharges[].amount	BT-99	value / map		todo
xr.documentCharges[].baseAmount	BT-100	value / map		todo
xr.documentCharges[].percent	BT-101	value / map		todo
xr.documentCharges[].reason	BT-104	value / map		todo
xr.documentCharges[].reasonCode	BT-105	value / map		todo
xr.documentCharges[].tax	BT-102..103	object / compose		todo
xr.documentCharges[].tax.categoryCode	BT-102	value / map		todo
xr.documentCharges[].tax.rate	BT-103	value / map		todo
xr.documentCharges[].tax.exemptionReason	semantic-model helper for BG-23 alignment	value / map		todo
xr.documentCharges[].tax.exemptionReasonCode	semantic-model helper for BG-23 alignment	value / map		todo
xr.totals	BG-22	object / compose		todo
xr.totals.lineExtensionAmount	BT-106	value / map		todo
xr.totals.allowanceTotalAmount	BT-107	value / map		todo
xr.totals.chargeTotalAmount	BT-108	value / map		todo
xr.totals.taxExclusiveAmount	BT-109	value / map		todo
xr.totals.taxAmountInDocumentCurrency	BT-110	value / map		todo
xr.totals.taxAmountInTaxCurrency	BT-111	value / map		todo
xr.totals.taxInclusiveAmount	BT-112	value / map		todo
xr.totals.prepaidAmount	BT-113	value / map		todo
xr.totals.payableRoundingAmount	BT-114	value / map		todo
xr.totals.payableAmount	BT-115	value / map		todo
xr.vatBreakdowns[]	BG-23	list / repeat		todo
xr.vatBreakdowns[].taxableAmount	BT-116	value / map		todo
xr.vatBreakdowns[].taxAmount	BT-117	value / map		todo
xr.vatBreakdowns[].categoryCode	BT-118	value / map		todo
xr.vatBreakdowns[].rate	BT-119	value / map		todo
xr.vatBreakdowns[].exemptionReason	BT-120	value / map		todo
xr.vatBreakdowns[].exemptionReasonCode	BT-121	value / map		todo
xr.supportingDocuments[]	BG-24	list / repeat		todo
xr.supportingDocuments[].id	BT-122	value / map		todo
xr.supportingDocuments[].description	BT-123	value / map		todo
xr.supportingDocuments[].embedded	BT-124..125	object / compose		todo
xr.supportingDocuments[].embedded.externalUri	BT-124	value / map		todo
xr.supportingDocuments[].embedded.content	BT-125	value / map		todo
xr.supportingDocuments[].embedded.mimeCode	BT-125 mimeCode	value / map		todo
xr.supportingDocuments[].embedded.filename	BT-125 filename	value / map		todo
xr.lines[]	BG-25..BG-32	list / repeat		todo
xr.lines[].id	BT-126	value / map		todo
xr.lines[].note	BT-127	value / map		todo
xr.lines[].objectReference	BT-128	object / compose		todo
xr.lines[].objectReference.id	BT-128	value / map		todo
xr.lines[].objectReference.schemeId	BT-128 schemeId	value / map		todo
